Station,Station_ID,Sample Date,Sample_ID,Enterococcus,PWD_PRECIP
Chester Waterfront,CHW,08202021,CHW08202021,400,0.3
Cooper River at Kaighns Ave,CRK,08202021,CRK08202021,76,0.1
Frankford Boat Launch,FBL,08202021,FBL08202021,656,0.11
National Park/Redbank Battlefield Park,NPRB,08202021,NPRB08202021,478,0.3
Palmyra Cove Nature Park,PCP,08202021,PCP08202021,0,0.11
Penn Treaty Park,PTP,08202021,PTP08202021,365,0.133
Penns Landing,PNSL,08202021,PNSL08202021,220,0.2
Pennsauken Access/Delair Boat Launch,PADB,08202021,PADB08202021,184,0.1
Pyne Poynt,PPP,08202021,PPP08202021,62,0.133
Replicate,REP,08202021,REP08202021,156,0.133
Rinsate Blank,RBL,08202021,RBL08202021,0,0.003
Schuylkill River at Bartram’s Garden,SRBG,08202021,SRBG08202021,1288,0.12
Schuylkill River at Schuylkill Banks,SRSB,08202021,SRSB08202021,714,0.172
USGS gage at Castor Ave,USGC,08202021,USGC08202021,2016,0.108
Washington Avenue Green,WAG,08202021,WAG08202021,204,0.2
