OID_,Address,City_State,Y_Coord,X_Coord,Name,Owner,Pub_Priv,All_Rec,Rec_Cat,Shore_Acce
0,Seaport Dr & Flower St Chester Riverfront,"Chester, PA 19013",39.832351000000003,-75.376925000000000,Chester City Boat Ramp,City of Chester,Public,Jet Ski; Motorboat; Sailboat; Fishing,most immersive,Yes
1,500 W 2nd St," Essington, PA 19029",39.861018999999999,-75.306757000000005,West End Boat Club,West End Boat Club,Private,Jet Ski; Motorboat; Sailboat; Fishing,most immersive,Yes
2,300 W 2nd St,"Essington, PA 19029",39.859963000000000,-75.305243000000004,Corinthian Yacht Club,Corinthian Yacht Club,Private,Paddle Board; Kayak; Motorboat; Sailboat,most immersive,Yes
3,Taylor Ave & W 2nd St,"Essington, PA 19029",39.860534000000001,-75.303224999999998,Governor Printz Park,"Tinicum
Township",Public,Swim; Wading; Fishing,most immersive,Yes
4,95 Wanamaker Ave,"Essington, PA 19029",39.858755000000002,-75.301152999999999,Riverside Yacht Club,Private,Private,Jet Ski; Motorboat; Sailboat,most immersive,Yes
5,2 Bartram Ave,"Essington, PA 19029",39.858741999999999,-75.299280999999993,Philadelphia Sea Plane Base,Private,Private,Seaplane,moderately immersive,Yes
6,1 Bartram Ave,"Essington, PA 19029",39.858673000000003,-75.296783000000005,Fox Grove Marina,Private,Private,Jet Ski; Motorboat; Sailboat,most immersive,Yes
7,"1, Jansen Ave","Essington, PA 19029",39.859336999999996,-75.294848000000002,Golden Point/Anchorage Marina,Private,Private,Jet Ski; Motorboat; Sailboat,most immersive,Yes
8,1000 Riverwinds Dr,"West Deptford, NJ 08086",39.862501999999999,-75.208286999999999,Riverwinds Park,West Deptford Township,Public,Swim; Wading; Kayak,most immersive,Yes
9,1 Fort Mifflin Road,"Philadelphia, PA 19153",39.874529000000003,-75.211004000000003,Fort Mifflin,FMOD (Fort Mifflin on the Delaware),Public,Motorboat,moderately immersive,Yes
10,100 Hessian Ave,"National Park, NJ 08063",39.869169999999997,-75.191075999999995,Red Bank Battlefield Park,Gloucester County,Public,Swim; Wading; Kayak; Fishing,most immersive,Yes
11,1776 2nd St,"West Deptford, NJ 08086",39.876961999999999,-75.179575000000000,Rivergate Boat Ramp,West Deptford Township,Public,Jet Ski; Kayak; Motorboat; Fishing,most immersive,Yes
12,225 S King St,"Gloucester City, NJ 08030",39.896256000000001,-75.129754000000005,Gloucester City Marina,City of Gloucester,Public,Jet Ski; Motorboat; Sailboat; Fishing,most immersive,Yes
13,12 Jackson St,"Camden, NJ 08104",39.923771000000002,-75.128856999999996,Michael J Doyle Fishing Pier,CCMUA (Camden County Municipal Utilities Authority),Public,Fishing,least immersive,No
14,Pier 70 Blvd,"Philadelphia, PA 19148",39.925114000000001,-75.138077999999993,Pier 68,City of Philadelphia,Public,Fishing,least immersive,Yes
