Station,Sample Date,Sample_ID,Sample_Time,temp_C,pH,ms_cm,NTU,mg_L DO,Perc_DO,Enterococcus,Ecoli,Total Coliform
USGS gage at Castor Ave,8182021,USGC08182021,9:15:00 AM,25.08,7.46,0.631,,3.08,37.33,310,710,5020
Penn Treaty Park ,8182021,PTP08182021,10:00:00 AM,26.35,7.36,0.216,,3.35,41.56,10,10,1900
Penns Landing ,8182021,PNSL08182021,10:35:00 AM,26.89,7.27,0.219,,3.18,39.84,10,20,2030
Washington Avenue Green,8182021,WAG08182021,11:05:00 AM,27.29,7.37,0.217,,3.44,43.41,20,120,2470
Schuylkill River at Bartram’s Garden,8182021,SRBG08182021,11:55:00 AM,28.57,7.94,0.505,,4.22,54.48,70,110,3740
Schuylkill River at Schuylkill Banks,8182021,SRSB08182021,12:50:00 PM,29.27,8.19,0.491,,5.11,66.78,40,50,1870
Frankford Boat Launch,8192021,FBL08192021,8:15:00 AM,27,6.26,0.266,,4.41,55.36,888,100,6100
PWD CSO or Upstream Location,8192021,PCSO08192021,8:50:00 AM,25.48,7.02,0.13,,3.7,45.18,4000,9400,101400
USGS gage at Castor Ave,8192021,USGC08192021,9:10:00 AM,25.03,7.39,0.11,,8.63,104.51,4000,6200,37400
Penn Treaty Park ,8192021,PTP08192021,9:45:00 AM,26.4,7.4,0.211,,7.4,91.89,1152,1600,24700
Penns Landing ,8192021,PNSL08192021,10:05:00 AM,27.27,7.37,0.218,,4.13,52.1,668,700,22800
Washington Avenue Green,8192021,WAG08192021,10:45:00 AM,27.72,7.44,0.22,,3.63,46.16,112,100,4300
Schuylkill River at Bartram’s Garden,8192021,SRBG08192021,11:20:00 AM,26.98,7.87,0.295,,4.78,59.98,4000,1600,54800
Schuylkill River at Schuylkill Banks,8192021,SRSB08192021,11:50:00 AM,26.85,7.99,0.269,,5.32,66.6,4000,2300,62300
Replicate,8192021,REP08192021,10:15:00 AM,27.27,7.37,0.218,,4.13,52.1,608,100,7600
Rinsate Blank,8192021,RBL08192021,10:10:00 AM,,,,,,,0,0,0
