SampleID,Parameter,CollectionDate,result
A1,Escherichia Coli,7/20/21,63.1
A2,Escherichia Coli,7/20/21,59.8
A3,Escherichia Coli,7/20/21,29.5
A4,Escherichia Coli,7/20/21,43.7
A5,Escherichia Coli,7/20/21,43.2
A5,Escherichia Coli,7/20/21,34.5
B1,Escherichia Coli,7/20/21,131.7
B2,Escherichia Coli,7/20/21,108.1
B3,Escherichia Coli,7/20/21,106.7
B4,Escherichia Coli,7/20/21,125.9
B5,Escherichia Coli,7/20/21,104.6
C1,Escherichia Coli,7/20/21,613.1
C2,Escherichia Coli,7/20/21,613.1
C3,Escherichia Coli,7/20/21,579.4
C4,Escherichia Coli,7/20/21,344.8
C5,Escherichia Coli,7/20/21,435.2
D1,Escherichia Coli,7/20/21,579.4
D2,Escherichia Coli,7/20/21,461.1
D3,Escherichia Coli,7/20/21,547.5
D4,Escherichia Coli,7/20/21,435.2
D5,Escherichia Coli,7/20/21,461.1
DEL,Escherichia Coli,7/20/21,727
E1,Escherichia Coli,7/20/21,517.2
E2,Escherichia Coli,7/20/21,387.3
E3,Escherichia Coli,7/20/21,325.5
E4,Escherichia Coli,7/20/21,410.6
E5,Escherichia Coli,7/20/21,172.3
A1,Escherichia Coli,7/26/21,307.6
A2,Escherichia Coli,7/26/21,27.9
A3,Escherichia Coli,7/26/21,14.6
A4,Escherichia Coli,7/26/21,13.4
A5,Escherichia Coli,7/26/21,17.5
DRBC-1343ICP-20210726,Escherichia Coli,7/26/21,25.6
B1,Escherichia Coli,7/26/21,35.5
B2,Escherichia Coli,7/26/21,54.6
B3,Escherichia Coli,7/26/21,30.1
B4,Escherichia Coli,7/26/21,39.9
B5,Escherichia Coli,7/26/21,27.2
B5,Escherichia Coli,7/26/21,22.6
C1,Escherichia Coli,7/26/21,131.4
C2,Escherichia Coli,7/26/21,272.3
C3,Escherichia Coli,7/26/21,228.2
C4,Escherichia Coli,7/26/21,143.9
C5,Escherichia Coli,7/26/21,93.2
D1,Escherichia Coli,7/26/21,547.5
D2,Escherichia Coli,7/26/21,131.4
D3,Escherichia Coli,7/26/21,113
D4,Escherichia Coli,7/26/21,198.9
D5,Escherichia Coli,7/26/21,2419.6
E1,Escherichia Coli,7/26/21,2419.6
E2,Escherichia Coli,7/26/21,727
E3,Escherichia Coli,7/26/21,81.6
E4,Escherichia Coli,7/26/21,104.6
E5,Escherichia Coli,7/26/21,290.9
A1,Escherichia Coli,8/9/21,52.9
A2,Escherichia Coli,8/9/21,26.5
A3,Escherichia Coli,8/9/21,18.9
A4,Escherichia Coli,8/9/21,24.9
A5,Escherichia Coli,8/9/21,28.2
B1,Escherichia Coli,8/9/21,240
B2,Escherichia Coli,8/9/21,101.9
B3,Escherichia Coli,8/9/21,116.9
B4,Escherichia Coli,8/9/21,95.9
B5,Escherichia Coli,8/9/21,71.7
C1,Escherichia Coli,8/9/21,365.4
C2,Escherichia Coli,8/9/21,307.6
C3,Escherichia Coli,8/9/21,435.2
C4,Escherichia Coli,8/9/21,770.1
C4,Escherichia Coli,8/9/21,613.1
C5,Escherichia Coli,8/9/21,1299.7
D1,Escherichia Coli,8/9/21,547.5
D2,Escherichia Coli,8/9/21,2419.6
D3,Escherichia Coli,8/9/21,2419.6
D4,Escherichia Coli,8/9/21,2419.6
D5,Escherichia Coli,8/9/21,2419.6
DEL,Escherichia Coli,8/9/21,13.2
E1,Escherichia Coli,8/9/21,517.2
E2,Escherichia Coli,8/9/21,71.2
E3,Escherichia Coli,8/9/21,101.7
E4,Escherichia Coli,8/9/21,157.6
E5,Escherichia Coli,8/9/21,148.3
A1,Escherichia Coli,8/23/21,290.9
A2,Escherichia Coli,8/23/21,54.6
A3,Escherichia Coli,8/23/21,29.2
A4,Escherichia Coli,8/23/21,39.9
A5,Escherichia Coli,8/23/21,52.1
B1,Escherichia Coli,8/23/21,686.7
B2,Escherichia Coli,8/23/21,290.9
B3,Escherichia Coli,8/23/21,178.9
DEL,Escherichia Coli,8/23/21,1119.9
B4,Escherichia Coli,8/23/21,461.1
B5,Escherichia Coli,8/23/21,166.4
C1,Escherichia Coli,8/23/21,727
C2,Escherichia Coli,8/23/21,387.3
C3,Escherichia Coli,8/23/21,313
C4,Escherichia Coli,8/23/21,365.4
C5,Escherichia Coli,8/23/21,2419.6
D1,Escherichia Coli,8/23/21,980.4
D2,Escherichia Coli,8/23/21,261.3
D3,Escherichia Coli,8/23/21,613.1
D4,Escherichia Coli,8/23/21,2419.6
D5,Escherichia Coli,8/23/21,2419.6
E1,Escherichia Coli,8/23/21,209.8
E1,Escherichia Coli,8/23/21,344.8
E2,Escherichia Coli,8/23/21,113.7
E3,Escherichia Coli,8/23/21,98.8
E4,Escherichia Coli,8/23/21,148.3
E5,Escherichia Coli,8/23/21,165.8
